
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.740938; errorLow = 0.00823656; errorHigh = 0.00807301; xbin 2.1875
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.975391; errorLow = 0.00316142; errorHigh = 0.00282665; xbin 2.1875
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 2.3125
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 2.3125
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.735628; errorLow = 0.0084358; errorHigh = 0.0082702; xbin 2.3125
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.974182; errorLow = 0.00328973; errorHigh = 0.00294421; xbin 2.3125
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 2.4375
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 2.4375
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.654212; errorLow = 0.00915979; errorHigh = 0.00904895; xbin 2.4375
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.974269; errorLow = 0.00332847; errorHigh = 0.00297434; xbin 2.4375
OK
eff_50_120_barrel.root
eleTruthPhi
OK
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.690004; errorLow = 0.00651947; errorHigh = 0.0064459; xbin 0.2
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.958794; errorLow = 0.00293191; errorHigh =  0.00275079; xbin 0.2
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.725484; errorLow = 0.00839279; errorHigh = 0.00823932; xbin 0.2
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.968646; errorLow = 0.00351607; errorHigh = 0.00318709; xbin 0.2
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.684615; errorLow = 0.00649313; errorHigh = 0.00642284; xbin 0.6
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.955535; errorLow = 0.00300607; errorHigh =  0.00282947; xbin 0.6
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.71296; errorLow = 0.00863277; errorHigh = 0.00848339; xbin 0.6
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.956342; errorLow = 0.00412577; errorHigh = 0.00379784; xbin 0.6
